id,text
12,passage: date: YYYY-00-DD 00:00:SS restaurant_id: 2 dish_id: 3 dish_name: Salmon Salad forecast_qty: 50 sold_qty: 24 percent_sold: 48.0 price_dropped: True reason: Low sales – EOD markdown
13,passage: date: YYYY-00-DD 00:00:SS restaurant_id: 2 dish_id: 4 dish_name: Chicken Teriyaki forecast_qty: 56 sold_qty: 28 percent_sold: 50.0 price_dropped: True reason: Low sales – EOD markdown
14,passage: date: YYYY-00-DD 00:00:SS restaurant_id: 2 dish_id: 5 dish_name: Spicy Ramen forecast_qty: 34 sold_qty: 37 percent_sold: 108.8 price_dropped: True reason: Low sales – EOD markdown
15,passage: date: YYYY-00-DD 00:00:SS restaurant_id: 2 dish_id: 6 dish_name: Biryani forecast_qty: 54 sold_qty: 35 percent_sold: 64.8 price_dropped: True reason: Low sales – EOD markdown
16,passage: date: YYYY-00-DD 00:00:SS restaurant_id: 2 dish_id: 7 dish_name: Bulgogi Bowl forecast_qty: 30 sold_qty: 33 percent_sold: 110.0 price_dropped: True reason: Low sales – EOD markdown
17,passage: date: YYYY-00-DD 00:00:SS restaurant_id: 2 dish_id: 8 dish_name: Coconut Curry forecast_qty: 51 sold_qty: 58 percent_sold: 113.7 price_dropped: True reason: Low sales – EOD markdown
18,passage: date: YYYY-00-DD 00:00:SS restaurant_id: 2 dish_id: 9 dish_name: Veg Risotto forecast_qty: 43 sold_qty: 30 percent_sold: 69.8 price_dropped: True reason: Low sales – EOD markdown
19,passage: date: YYYY-00-DD 00:00:SS restaurant_id: 2 dish_id: 10 dish_name: Paneer Tikka forecast_qty: 55 sold_qty: 46 percent_sold: 83.6 price_dropped: True reason: Low sales – EOD markdown
20,passage: date: YYYY-00-DD 00:00:SS restaurant_id: 1 dish_id: 1 dish_name: Butter Chicken forecast_qty: 44 sold_qty: 25 percent_sold: 56.8 price_dropped: True reason: Low sales – EOD markdown
21,passage: date: YYYY-00-DD 00:00:SS restaurant_id: 1 dish_id: 2 dish_name: Tofu Stir Fry forecast_qty: 36 sold_qty: 41 percent_sold: 113.9 price_dropped: True reason: Low sales – EOD markdown
22,passage: date: YYYY-00-DD 00:00:SS restaurant_id: 1 dish_id: 3 dish_name: Salmon Salad forecast_qty: 53 sold_qty: 41 percent_sold: 77.4 price_dropped: True reason: Low sales – EOD markdown
23,passage: date: YYYY-00-DD 00:00:SS restaurant_id: 1 dish_id: 4 dish_name: Chicken Teriyaki forecast_qty: 46 sold_qty: 32 percent_sold: 69.6 price_dropped: True reason: Low sales – EOD markdown
24,passage: date: YYYY-00-DD 00:00:SS restaurant_id: 1 dish_id: 5 dish_name: Spicy Ramen forecast_qty: 48 sold_qty: 34 percent_sold: 70.8 price_dropped: True reason: Low sales – EOD markdown
25,passage: date: YYYY-00-DD 00:00:SS restaurant_id: 1 dish_id: 6 dish_name: Biryani forecast_qty: 52 sold_qty: 36 percent_sold: 69.2 price_dropped: True reason: Low sales – EOD markdown
26,passage: date: YYYY-00-DD 00:00:SS restaurant_id: 1 dish_id: 7 dish_name: Bulgogi Bowl forecast_qty: 48 sold_qty: 28 percent_sold: 58.3 price_dropped: True reason: Low sales – EOD markdown
27,passage: date: YYYY-00-DD 00:00:SS restaurant_id: 1 dish_id: 8 dish_name: Coconut Curry forecast_qty: 35 sold_qty: 32 percent_sold: 91.4 price_dropped: True reason: Low sales – EOD markdown
28,passage: date: YYYY-00-DD 00:00:SS restaurant_id: 1 dish_id: 9 dish_name: Veg Risotto forecast_qty: 33 sold_qty: 33 percent_sold: 100.0 price_dropped: True reason: Low sales – EOD markdown
29,passage: date: YYYY-00-DD 00:00:SS restaurant_id: 1 dish_id: 10 dish_name: Paneer Tikka forecast_qty: 46 sold_qty: 39 percent_sold: 84.8 price_dropped: True reason: Low sales – EOD markdown
30,passage: date: YYYY-00-DD 00:00:SS restaurant_id: 2 dish_id: 1 dish_name: Butter Chicken forecast_qty: 34 sold_qty: 40 percent_sold: 117.6 price_dropped: True reason: Low sales – EOD markdown
31,passage: date: YYYY-00-DD 00:00:SS restaurant_id: 2 dish_id: 2 dish_name: Tofu Stir Fry forecast_qty: 48 sold_qty: 31 percent_sold: 64.6 price_dropped: True reason: Low sales – EOD markdown
32,passage: date: YYYY-00-DD 00:00:SS restaurant_id: 2 dish_id: 3 dish_name: Salmon Salad forecast_qty: 37 sold_qty: 38 percent_sold: 102.7 price_dropped: True reason: Low sales – EOD markdown
33,passage: date: YYYY-00-DD 00:00:SS restaurant_id: 2 dish_id: 4 dish_name: Chicken Teriyaki forecast_qty: 55 sold_qty: 37 percent_sold: 67.3 price_dropped: True reason: Low sales – EOD markdown
34,passage: date: YYYY-00-DD 00:00:SS restaurant_id: 2 dish_id: 5 dish_name: Spicy Ramen forecast_qty: 33 sold_qty: 45 percent_sold: 136.4 price_dropped: True reason: Low sales – EOD markdown
35,passage: date: YYYY-00-DD 00:00:SS restaurant_id: 2 dish_id: 6 dish_name: Biryani forecast_qty: 37 sold_qty: 40 percent_sold: 108.1 price_dropped: True reason: Low sales – EOD markdown
36,passage: date: YYYY-00-DD 00:00:SS restaurant_id: 2 dish_id: 7 dish_name: Bulgogi Bowl forecast_qty: 51 sold_qty: 41 percent_sold: 80.4 price_dropped: True reason: Low sales – EOD markdown
37,passage: date: YYYY-00-DD 00:00:SS restaurant_id: 2 dish_id: 8 dish_name: Coconut Curry forecast_qty: 41 sold_qty: 36 percent_sold: 87.8 price_dropped: True reason: Low sales – EOD markdown
38,passage: date: YYYY-00-DD 00:00:SS restaurant_id: 2 dish_id: 9 dish_name: Veg Risotto forecast_qty: 46 sold_qty: 34 percent_sold: 73.9 price_dropped: True reason: Low sales – EOD markdown
39,passage: date: YYYY-00-DD 00:00:SS restaurant_id: 2 dish_id: 10 dish_name: Paneer Tikka forecast_qty: 39 sold_qty: 44 percent_sold: 112.8 price_dropped: True reason: Low sales – EOD markdown
40,passage: date: YYYY-00-DD 00:00:SS restaurant_id: 1 dish_id: 1 dish_name: Butter Chicken forecast_qty: 49 sold_qty: 43 percent_sold: 87.8 price_dropped: True reason: Low sales – EOD markdown
41,passage: date: YYYY-00-DD 00:00:SS restaurant_id: 1 dish_id: 2 dish_name: Tofu Stir Fry forecast_qty: 36 sold_qty: 45 percent_sold: 125.0 price_dropped: True reason: Low sales – EOD markdown
42,passage: date: YYYY-00-DD 00:00:SS restaurant_id: 1 dish_id: 3 dish_name: Salmon Salad forecast_qty: 37 sold_qty: 26 percent_sold: 70.3 price_dropped: True reason: Low sales – EOD markdown
43,passage: date: YYYY-00-DD 00:00:SS restaurant_id: 1 dish_id: 4 dish_name: Chicken Teriyaki forecast_qty: 48 sold_qty: 33 percent_sold: 68.8 price_dropped: True reason: Low sales – EOD markdown
44,passage: date: YYYY-00-DD 00:00:SS restaurant_id: 1 dish_id: 5 dish_name: Spicy Ramen forecast_qty: 58 sold_qty: 35 percent_sold: 60.3 price_dropped: True reason: Low sales – EOD markdown
45,passage: date: YYYY-00-DD 00:00:SS restaurant_id: 1 dish_id: 6 dish_name: Biryani forecast_qty: 51 sold_qty: 43 percent_sold: 84.3 price_dropped: True reason: Low sales – EOD markdown
46,passage: date: YYYY-00-DD 00:00:SS restaurant_id: 1 dish_id: 7 dish_name: Bulgogi Bowl forecast_qty: 38 sold_qty: 39 percent_sold: 102.6 price_dropped: True reason: Low sales – EOD markdown
47,passage: date: YYYY-00-DD 00:00:SS restaurant_id: 1 dish_id: 8 dish_name: Coconut Curry forecast_qty: 40 sold_qty: 35 percent_sold: 87.5 price_dropped: True reason: Low sales – EOD markdown
48,passage: date: YYYY-00-DD 00:00:SS restaurant_id: 1 dish_id: 9 dish_name: Veg Risotto forecast_qty: 47 sold_qty: 42 percent_sold: 89.4 price_dropped: True reason: Low sales – EOD markdown
49,passage: date: YYYY-00-DD 00:00:SS restaurant_id: 1 dish_id: 10 dish_name: Paneer Tikka forecast_qty: 42 sold_qty: 55 percent_sold: 131.0 price_dropped: True reason: Low sales – EOD markdown
50,passage: date: YYYY-00-DD 00:00:SS restaurant_id: 2 dish_id: 1 dish_name: Butter Chicken forecast_qty: 55 sold_qty: 49 percent_sold: 89.1 price_dropped: True reason: Low sales – EOD markdown
51,passage: date: YYYY-00-DD 00:00:SS restaurant_id: 2 dish_id: 2 dish_name: Tofu Stir Fry forecast_qty: 59 sold_qty: 33 percent_sold: 55.9 price_dropped: True reason: Low sales – EOD markdown
52,passage: date: YYYY-00-DD 00:00:SS restaurant_id: 2 dish_id: 3 dish_name: Salmon Salad forecast_qty: 44 sold_qty: 38 percent_sold: 86.4 price_dropped: True reason: Low sales – EOD markdown
53,passage: date: YYYY-00-DD 00:00:SS restaurant_id: 2 dish_id: 4 dish_name: Chicken Teriyaki forecast_qty: 43 sold_qty: 26 percent_sold: 60.5 price_dropped: True reason: Low sales – EOD markdown
54,passage: date: YYYY-00-DD 00:00:SS restaurant_id: 2 dish_id: 5 dish_name: Spicy Ramen forecast_qty: 54 sold_qty: 30 percent_sold: 55.6 price_dropped: True reason: Low sales – EOD markdown
55,passage: date: YYYY-00-DD 00:00:SS restaurant_id: 2 dish_id: 6 dish_name: Biryani forecast_qty: 36 sold_qty: 37 percent_sold: 102.8 price_dropped: True reason: Low sales – EOD markdown
56,passage: date: YYYY-00-DD 00:00:SS restaurant_id: 2 dish_id: 7 dish_name: Bulgogi Bowl forecast_qty: 39 sold_qty: 32 percent_sold: 82.1 price_dropped: True reason: Low sales – EOD markdown
57,passage: date: YYYY-00-DD 00:00:SS restaurant_id: 2 dish_id: 8 dish_name: Coconut Curry forecast_qty: 37 sold_qty: 22 percent_sold: 59.5 price_dropped: True reason: Low sales – EOD markdown
58,passage: date: YYYY-00-DD 00:00:SS restaurant_id: 2 dish_id: 9 dish_name: Veg Risotto forecast_qty: 41 sold_qty: 41 percent_sold: 100.0 price_dropped: True reason: Low sales – EOD markdown
59,passage: date: YYYY-00-DD 00:00:SS restaurant_id: 2 dish_id: 10 dish_name: Paneer Tikka forecast_qty: 52 sold_qty: 42 percent_sold: 80.8 price_dropped: True reason: Low sales – EOD markdown
60,passage: date: YYYY-00-DD 00:00:SS restaurant_id: 1 dish_id: 1 dish_name: Butter Chicken forecast_qty: 48 sold_qty: 39 percent_sold: 81.2 price_dropped: True reason: Low sales – EOD markdown
61,passage: date: YYYY-00-DD 00:00:SS restaurant_id: 1 dish_id: 2 dish_name: Tofu Stir Fry forecast_qty: 40 sold_qty: 40 percent_sold: 100.0 price_dropped: True reason: Low sales – EOD markdown
62,passage: date: YYYY-00-DD 00:00:SS restaurant_id: 1 dish_id: 3 dish_name: Salmon Salad forecast_qty: 58 sold_qty: 44 percent_sold: 75.9 price_dropped: True reason: Low sales – EOD markdown
63,passage: date: YYYY-00-DD 00:00:SS restaurant_id: 1 dish_id: 4 dish_name: Chicken Teriyaki forecast_qty: 45 sold_qty: 48 percent_sold: 106.7 price_dropped: True reason: Low sales – EOD markdown
64,passage: date: YYYY-00-DD 00:00:SS restaurant_id: 1 dish_id: 5 dish_name: Spicy Ramen forecast_qty: 47 sold_qty: 45 percent_sold: 95.7 price_dropped: True reason: Low sales – EOD markdown
65,passage: date: YYYY-00-DD 00:00:SS restaurant_id: 1 dish_id: 6 dish_name: Biryani forecast_qty: 36 sold_qty: 38 percent_sold: 105.6 price_dropped: True reason: Low sales – EOD markdown
66,passage: date: YYYY-00-DD 00:00:SS restaurant_id: 1 dish_id: 7 dish_name: Bulgogi Bowl forecast_qty: 46 sold_qty: 33 percent_sold: 71.7 price_dropped: True reason: Low sales – EOD markdown
67,passage: date: YYYY-00-DD 00:00:SS restaurant_id: 1 dish_id: 8 dish_name: Coconut Curry forecast_qty: 31 sold_qty: 23 percent_sold: 74.2 price_dropped: True reason: Low sales – EOD markdown
68,passage: date: YYYY-00-DD 00:00:SS restaurant_id: 1 dish_id: 9 dish_name: Veg Risotto forecast_qty: 45 sold_qty: 34 percent_sold: 75.6 price_dropped: True reason: Low sales – EOD markdown
69,passage: date: YYYY-00-DD 00:00:SS restaurant_id: 1 dish_id: 10 dish_name: Paneer Tikka forecast_qty: 32 sold_qty: 38 percent_sold: 118.8 price_dropped: True reason: Low sales – EOD markdown
70,passage: date: YYYY-00-DD 00:00:SS restaurant_id: 2 dish_id: 1 dish_name: Butter Chicken forecast_qty: 37 sold_qty: 43 percent_sold: 116.2 price_dropped: True reason: Low sales – EOD markdown
71,passage: date: YYYY-00-DD 00:00:SS restaurant_id: 2 dish_id: 2 dish_name: Tofu Stir Fry forecast_qty: 36 sold_qty: 41 percent_sold: 113.9 price_dropped: True reason: Low sales – EOD markdown
72,passage: date: YYYY-00-DD 00:00:SS restaurant_id: 2 dish_id: 3 dish_name: Salmon Salad forecast_qty: 39 sold_qty: 38 percent_sold: 97.4 price_dropped: True reason: Low sales – EOD markdown
73,passage: date: YYYY-00-DD 00:00:SS restaurant_id: 2 dish_id: 4 dish_name: Chicken Teriyaki forecast_qty: 51 sold_qty: 27 percent_sold: 52.9 price_dropped: True reason: Low sales – EOD markdown
74,passage: date: YYYY-00-DD 00:00:SS restaurant_id: 2 dish_id: 5 dish_name: Spicy Ramen forecast_qty: 49 sold_qty: 48 percent_sold: 98.0 price_dropped: True reason: Low sales – EOD markdown
75,passage: date: YYYY-00-DD 00:00:SS restaurant_id: 2 dish_id: 6 dish_name: Biryani forecast_qty: 58 sold_qty: 28 percent_sold: 48.3 price_dropped: True reason: Low sales – EOD markdown
76,passage: date: YYYY-00-DD 00:00:SS restaurant_id: 2 dish_id: 7 dish_name: Bulgogi Bowl forecast_qty: 38 sold_qty: 43 percent_sold: 113.2 price_dropped: True reason: Low sales – EOD markdown
77,passage: date: YYYY-00-DD 00:00:SS restaurant_id: 2 dish_id: 8 dish_name: Coconut Curry forecast_qty: 32 sold_qty: 48 percent_sold: 150.0 price_dropped: True reason: Low sales – EOD markdown
78,passage: date: YYYY-00-DD 00:00:SS restaurant_id: 2 dish_id: 9 dish_name: Veg Risotto forecast_qty: 56 sold_qty: 26 percent_sold: 46.4 price_dropped: True reason: Low sales – EOD markdown
79,passage: date: YYYY-00-DD 00:00:SS restaurant_id: 2 dish_id: 10 dish_name: Paneer Tikka forecast_qty: 43 sold_qty: 37 percent_sold: 86.0 price_dropped: True reason: Low sales – EOD markdown
80,passage: date: YYYY-00-DD 00:00:SS restaurant_id: 1 dish_id: 1 dish_name: Butter Chicken forecast_qty: 39 sold_qty: 36 percent_sold: 92.3 price_dropped: True reason: Low sales – EOD markdown
81,passage: date: YYYY-00-DD 00:00:SS restaurant_id: 1 dish_id: 2 dish_name: Tofu Stir Fry forecast_qty: 30 sold_qty: 35 percent_sold: 116.7 price_dropped: True reason: Low sales – EOD markdown
82,passage: date: YYYY-00-DD 00:00:SS restaurant_id: 1 dish_id: 3 dish_name: Salmon Salad forecast_qty: 46 sold_qty: 50 percent_sold: 108.7 price_dropped: True reason: Low sales – EOD markdown
83,passage: date: YYYY-00-DD 00:00:SS restaurant_id: 1 dish_id: 4 dish_name: Chicken Teriyaki forecast_qty: 53 sold_qty: 40 percent_sold: 75.5 price_dropped: True reason: Low sales – EOD markdown
84,passage: date: YYYY-00-DD 00:00:SS restaurant_id: 1 dish_id: 5 dish_name: Spicy Ramen forecast_qty: 39 sold_qty: 57 percent_sold: 146.2 price_dropped: True reason: Low sales – EOD markdown
85,passage: date: YYYY-00-DD 00:00:SS restaurant_id: 1 dish_id: 6 dish_name: Biryani forecast_qty: 36 sold_qty: 47 percent_sold: 130.6 price_dropped: True reason: Low sales – EOD markdown
86,passage: date: YYYY-00-DD 00:00:SS restaurant_id: 1 dish_id: 7 dish_name: Bulgogi Bowl forecast_qty: 56 sold_qty: 43 percent_sold: 76.8 price_dropped: True reason: Low sales – EOD markdown
87,passage: date: YYYY-00-DD 00:00:SS restaurant_id: 1 dish_id: 8 dish_name: Coconut Curry forecast_qty: 30 sold_qty: 31 percent_sold: 103.3 price_dropped: True reason: Low sales – EOD markdown
88,passage: date: YYYY-00-DD 00:00:SS restaurant_id: 1 dish_id: 9 dish_name: Veg Risotto forecast_qty: 50 sold_qty: 44 percent_sold: 88.0 price_dropped: True reason: Low sales – EOD markdown
89,passage: date: YYYY-00-DD 00:00:SS restaurant_id: 1 dish_id: 10 dish_name: Paneer Tikka forecast_qty: 32 sold_qty: 32 percent_sold: 100.0 price_dropped: True reason: Low sales – EOD markdown
90,passage: date: YYYY-00-DD 00:00:SS restaurant_id: 2 dish_id: 1 dish_name: Butter Chicken forecast_qty: 33 sold_qty: 38 percent_sold: 115.2 price_dropped: True reason: Low sales – EOD markdown
91,passage: date: YYYY-00-DD 00:00:SS restaurant_id: 2 dish_id: 2 dish_name: Tofu Stir Fry forecast_qty: 37 sold_qty: 45 percent_sold: 121.6 price_dropped: True reason: Low sales – EOD markdown
92,passage: date: YYYY-00-DD 00:00:SS restaurant_id: 2 dish_id: 3 dish_name: Salmon Salad forecast_qty: 59 sold_qty: 47 percent_sold: 79.7 price_dropped: True reason: Low sales – EOD markdown
93,passage: date: YYYY-00-DD 00:00:SS restaurant_id: 2 dish_id: 4 dish_name: Chicken Teriyaki forecast_qty: 35 sold_qty: 34 percent_sold: 97.1 price_dropped: True reason: Low sales – EOD markdown
94,passage: date: YYYY-00-DD 00:00:SS restaurant_id: 2 dish_id: 5 dish_name: Spicy Ramen forecast_qty: 42 sold_qty: 50 percent_sold: 119.0 price_dropped: True reason: Low sales – EOD markdown
95,passage: date: YYYY-00-DD 00:00:SS restaurant_id: 2 dish_id: 6 dish_name: Biryani forecast_qty: 42 sold_qty: 33 percent_sold: 78.6 price_dropped: True reason: Low sales – EOD markdown
96,passage: date: YYYY-00-DD 00:00:SS restaurant_id: 2 dish_id: 7 dish_name: Bulgogi Bowl forecast_qty: 55 sold_qty: 38 percent_sold: 69.1 price_dropped: True reason: Low sales – EOD markdown
97,passage: date: YYYY-00-DD 00:00:SS restaurant_id: 2 dish_id: 8 dish_name: Coconut Curry forecast_qty: 50 sold_qty: 36 percent_sold: 72.0 price_dropped: True reason: Low sales – EOD markdown
98,passage: date: YYYY-00-DD 00:00:SS restaurant_id: 2 dish_id: 9 dish_name: Veg Risotto forecast_qty: 36 sold_qty: 35 percent_sold: 97.2 price_dropped: True reason: Low sales – EOD markdown
99,passage: date: YYYY-00-DD 00:00:SS restaurant_id: 2 dish_id: 10 dish_name: Paneer Tikka forecast_qty: 45 sold_qty: 34 percent_sold: 75.6 price_dropped: True reason: Low sales – EOD markdown
100,passage: date: YYYY-00-DD 00:00:SS restaurant_id: 1 dish_id: 1 dish_name: Butter Chicken forecast_qty: 42 sold_qty: 42 percent_sold: 100.0 price_dropped: True reason: Low sales – EOD markdown
101,passage: date: YYYY-00-DD 00:00:SS restaurant_id: 1 dish_id: 2 dish_name: Tofu Stir Fry forecast_qty: 60 sold_qty: 36 percent_sold: 60.0 price_dropped: True reason: Low sales – EOD markdown
102,passage: date: YYYY-00-DD 00:00:SS restaurant_id: 1 dish_id: 3 dish_name: Salmon Salad forecast_qty: 32 sold_qty: 43 percent_sold: 134.4 price_dropped: True reason: Low sales – EOD markdown
103,passage: date: YYYY-00-DD 00:00:SS restaurant_id: 1 dish_id: 4 dish_name: Chicken Teriyaki forecast_qty: 33 sold_qty: 49 percent_sold: 148.5 price_dropped: True reason: Low sales – EOD markdown
104,passage: date: YYYY-00-DD 00:00:SS restaurant_id: 1 dish_id: 5 dish_name: Spicy Ramen forecast_qty: 58 sold_qty: 52 percent_sold: 89.7 price_dropped: True reason: Low sales – EOD markdown
105,passage: date: YYYY-00-DD 00:00:SS restaurant_id: 1 dish_id: 6 dish_name: Biryani forecast_qty: 37 sold_qty: 40 percent_sold: 108.1 price_dropped: True reason: Low sales – EOD markdown
106,passage: date: YYYY-00-DD 00:00:SS restaurant_id: 1 dish_id: 7 dish_name: Bulgogi Bowl forecast_qty: 32 sold_qty: 25 percent_sold: 78.1 price_dropped: True reason: Low sales – EOD markdown
107,passage: date: YYYY-00-DD 00:00:SS restaurant_id: 1 dish_id: 8 dish_name: Coconut Curry forecast_qty: 56 sold_qty: 28 percent_sold: 50.0 price_dropped: True reason: Low sales – EOD markdown
108,passage: date: YYYY-00-DD 00:00:SS restaurant_id: 1 dish_id: 9 dish_name: Veg Risotto forecast_qty: 34 sold_qty: 30 percent_sold: 88.2 price_dropped: True reason: Low sales – EOD markdown
109,passage: date: YYYY-00-DD 00:00:SS restaurant_id: 1 dish_id: 10 dish_name: Paneer Tikka forecast_qty: 38 sold_qty: 30 percent_sold: 78.9 price_dropped: True reason: Low sales – EOD markdown
110,passage: date: YYYY-00-DD 00:00:SS restaurant_id: 2 dish_id: 1 dish_name: Butter Chicken forecast_qty: 46 sold_qty: 32 percent_sold: 69.6 price_dropped: True reason: Low sales – EOD markdown
111,passage: date: YYYY-00-DD 00:00:SS restaurant_id: 2 dish_id: 2 dish_name: Tofu Stir Fry forecast_qty: 43 sold_qty: 24 percent_sold: 55.8 price_dropped: True reason: Low sales – EOD markdown
112,passage: date: YYYY-00-DD 00:00:SS restaurant_id: 2 dish_id: 3 dish_name: Salmon Salad forecast_qty: 50 sold_qty: 37 percent_sold: 74.0 price_dropped: True reason: Low sales – EOD markdown
113,passage: date: YYYY-00-DD 00:00:SS restaurant_id: 2 dish_id: 4 dish_name: Chicken Teriyaki forecast_qty: 50 sold_qty: 47 percent_sold: 94.0 price_dropped: True reason: Low sales – EOD markdown
114,passage: date: YYYY-00-DD 00:00:SS restaurant_id: 2 dish_id: 5 dish_name: Spicy Ramen forecast_qty: 40 sold_qty: 40 percent_sold: 100.0 price_dropped: True reason: Low sales – EOD markdown
115,passage: date: YYYY-00-DD 00:00:SS restaurant_id: 2 dish_id: 6 dish_name: Biryani forecast_qty: 41 sold_qty: 42 percent_sold: 102.4 price_dropped: True reason: Low sales – EOD markdown
116,passage: date: YYYY-00-DD 00:00:SS restaurant_id: 2 dish_id: 7 dish_name: Bulgogi Bowl forecast_qty: 60 sold_qty: 33 percent_sold: 55.0 price_dropped: True reason: Low sales – EOD markdown
117,passage: date: YYYY-00-DD 00:00:SS restaurant_id: 2 dish_id: 8 dish_name: Coconut Curry forecast_qty: 33 sold_qty: 31 percent_sold: 93.9 price_dropped: True reason: Low sales – EOD markdown
118,passage: date: YYYY-00-DD 00:00:SS restaurant_id: 2 dish_id: 9 dish_name: Veg Risotto forecast_qty: 54 sold_qty: 41 percent_sold: 75.9 price_dropped: True reason: Low sales – EOD markdown
119,passage: date: YYYY-00-DD 00:00:SS restaurant_id: 2 dish_id: 10 dish_name: Paneer Tikka forecast_qty: 30 sold_qty: 39 percent_sold: 130.0 price_dropped: True reason: Low sales – EOD markdown
120,passage: date: YYYY-00-DD 00:00:SS restaurant_id: 1 dish_id: 1 dish_name: Butter Chicken forecast_qty: 48 sold_qty: 31 percent_sold: 64.6 price_dropped: True reason: Low sales – EOD markdown
121,passage: date: YYYY-00-DD 00:00:SS restaurant_id: 1 dish_id: 2 dish_name: Tofu Stir Fry forecast_qty: 38 sold_qty: 49 percent_sold: 128.9 price_dropped: True reason: Low sales – EOD markdown
122,passage: date: YYYY-00-DD 00:00:SS restaurant_id: 1 dish_id: 3 dish_name: Salmon Salad forecast_qty: 37 sold_qty: 37 percent_sold: 100.0 price_dropped: True reason: Low sales – EOD markdown
123,passage: date: YYYY-00-DD 00:00:SS restaurant_id: 1 dish_id: 4 dish_name: Chicken Teriyaki forecast_qty: 33 sold_qty: 30 percent_sold: 90.9 price_dropped: True reason: Low sales – EOD markdown
124,passage: date: YYYY-00-DD 00:00:SS restaurant_id: 1 dish_id: 5 dish_name: Spicy Ramen forecast_qty: 31 sold_qty: 51 percent_sold: 164.5 price_dropped: True reason: Low sales – EOD markdown
125,passage: date: YYYY-00-DD 00:00:SS restaurant_id: 1 dish_id: 6 dish_name: Biryani forecast_qty: 60 sold_qty: 41 percent_sold: 68.3 price_dropped: True reason: Low sales – EOD markdown
126,passage: date: YYYY-00-DD 00:00:SS restaurant_id: 1 dish_id: 7 dish_name: Bulgogi Bowl forecast_qty: 43 sold_qty: 41 percent_sold: 95.3 price_dropped: True reason: Low sales – EOD markdown
127,passage: date: YYYY-00-DD 00:00:SS restaurant_id: 1 dish_id: 8 dish_name: Coconut Curry forecast_qty: 46 sold_qty: 31 percent_sold: 67.4 price_dropped: True reason: Low sales – EOD markdown
128,passage: date: YYYY-00-DD 00:00:SS restaurant_id: 1 dish_id: 9 dish_name: Veg Risotto forecast_qty: 54 sold_qty: 46 percent_sold: 85.2 price_dropped: True reason: Low sales – EOD markdown
129,passage: date: YYYY-00-DD 00:00:SS restaurant_id: 1 dish_id: 10 dish_name: Paneer Tikka forecast_qty: 50 sold_qty: 38 percent_sold: 76.0 price_dropped: True reason: Low sales – EOD markdown
130,passage: date: YYYY-00-DD 00:00:SS restaurant_id: 2 dish_id: 1 dish_name: Butter Chicken forecast_qty: 41 sold_qty: 20 percent_sold: 48.8 price_dropped: True reason: Low sales – EOD markdown
131,passage: date: YYYY-00-DD 00:00:SS restaurant_id: 2 dish_id: 2 dish_name: Tofu Stir Fry forecast_qty: 44 sold_qty: 26 percent_sold: 59.1 price_dropped: True reason: Low sales – EOD markdown
