date,restaurant_id,dish_id,dish_name,order_type,quantity,unit_price,sales
YYYY-00-DD 00:00:SS,2,2,Tofu Stir Fry,Online,8,16.71,87.84
YYYY-00-DD 00:00:SS,2,3,Salmon Salad,Walk-in,11,9.53,171.93
YYYY-00-DD 00:00:SS,2,3,Salmon Salad,Pickup,5,13.99,64.45
YYYY-00-DD 00:00:SS,2,3,Salmon Salad,Online,8,17.29,134.32
YYYY-00-DD 00:00:SS,2,4,Chicken Teriyaki,Walk-in,14,10.39,145.74
YYYY-00-DD 00:00:SS,2,4,Chicken Teriyaki,Pickup,7,8.86,90.02
YYYY-00-DD 00:00:SS,2,4,Chicken Teriyaki,Online,7,17.78,93.31
YYYY-00-DD 00:00:SS,2,5,Spicy Ramen,Walk-in,9,14.6,157.23
YYYY-00-DD 00:00:SS,2,5,Spicy Ramen,Pickup,10,10.65,167.2
YYYY-00-DD 00:00:SS,2,5,Spicy Ramen,Online,18,17.64,311.22
YYYY-00-DD 00:00:SS,2,6,Biryani,Walk-in,11,15.13,131.89
YYYY-00-DD 00:00:SS,2,6,Biryani,Pickup,16,12.38,210.88
YYYY-00-DD 00:00:SS,2,6,Biryani,Online,8,10.48,69.12
YYYY-00-DD 00:00:SS,2,7,Bulgogi Bowl,Walk-in,12,13.88,96.84
YYYY-00-DD 00:00:SS,2,7,Bulgogi Bowl,Pickup,6,10.29,102.3
YYYY-00-DD 00:00:SS,2,7,Bulgogi Bowl,Online,15,8.71,155.7
YYYY-00-DD 00:00:SS,2,8,Coconut Curry,Walk-in,20,10.14,186.4
YYYY-00-DD 00:00:SS,2,8,Coconut Curry,Pickup,20,10.43,254.6
YYYY-00-DD 00:00:SS,2,8,Coconut Curry,Online,18,9.9,161.46
YYYY-00-DD 00:00:SS,2,9,Veg Risotto,Walk-in,16,12.24,202.72
YYYY-00-DD 00:00:SS,2,9,Veg Risotto,Pickup,6,14.73,107.04
YYYY-00-DD 00:00:SS,2,9,Veg Risotto,Online,8,8.61,122.24
YYYY-00-DD 00:00:SS,2,10,Paneer Tikka,Walk-in,8,10.49,79.2
YYYY-00-DD 00:00:SS,2,10,Paneer Tikka,Pickup,19,9.4,186.77
YYYY-00-DD 00:00:SS,2,10,Paneer Tikka,Online,19,10.5,327.37
YYYY-00-DD 00:00:SS,1,1,Butter Chicken,Walk-in,8,8.51,143.92
YYYY-00-DD 00:00:SS,1,1,Butter Chicken,Pickup,5,17.69,86.3
YYYY-00-DD 00:00:SS,1,1,Butter Chicken,Online,12,9.66,154.32
YYYY-00-DD 00:00:SS,1,2,Tofu Stir Fry,Walk-in,17,17.02,164.05
YYYY-00-DD 00:00:SS,1,2,Tofu Stir Fry,Pickup,5,17.85,53.25
YYYY-00-DD 00:00:SS,1,2,Tofu Stir Fry,Online,19,10.85,284.43
YYYY-00-DD 00:00:SS,1,3,Salmon Salad,Walk-in,20,9.55,219.4
YYYY-00-DD 00:00:SS,1,3,Salmon Salad,Pickup,6,13.79,80.52
YYYY-00-DD 00:00:SS,1,3,Salmon Salad,Online,15,8.57,207.6
YYYY-00-DD 00:00:SS,1,4,Chicken Teriyaki,Walk-in,10,8.57,130.8
YYYY-00-DD 00:00:SS,1,4,Chicken Teriyaki,Pickup,10,8.69,86.8
YYYY-00-DD 00:00:SS,1,4,Chicken Teriyaki,Online,12,12.04,209.04
YYYY-00-DD 00:00:SS,1,5,Spicy Ramen,Walk-in,12,13.79,100.8
YYYY-00-DD 00:00:SS,1,5,Spicy Ramen,Pickup,7,12.19,96.88
YYYY-00-DD 00:00:SS,1,5,Spicy Ramen,Online,15,17.35,150.6
YYYY-00-DD 00:00:SS,1,6,Biryani,Walk-in,15,10.39,179.4
YYYY-00-DD 00:00:SS,1,6,Biryani,Pickup,14,12.57,242.06
YYYY-00-DD 00:00:SS,1,6,Biryani,Online,7,8.09,99.47
YYYY-00-DD 00:00:SS,1,7,Bulgogi Bowl,Walk-in,8,8.73,81.04
YYYY-00-DD 00:00:SS,1,7,Bulgogi Bowl,Pickup,13,9.32,149.37
YYYY-00-DD 00:00:SS,1,7,Bulgogi Bowl,Online,7,16.79,81.9
YYYY-00-DD 00:00:SS,1,8,Coconut Curry,Walk-in,19,16.34,285.76
YYYY-00-DD 00:00:SS,1,8,Coconut Curry,Pickup,5,14.68,67.75
YYYY-00-DD 00:00:SS,1,8,Coconut Curry,Online,8,17.39,74.72
YYYY-00-DD 00:00:SS,1,9,Veg Risotto,Walk-in,8,15.42,76.4
YYYY-00-DD 00:00:SS,1,9,Veg Risotto,Pickup,14,14.05,212.52
YYYY-00-DD 00:00:SS,1,9,Veg Risotto,Online,11,14.87,181.83
YYYY-00-DD 00:00:SS,1,10,Paneer Tikka,Walk-in,20,10.51,341.6
YYYY-00-DD 00:00:SS,1,10,Paneer Tikka,Pickup,6,8.92,73.44
YYYY-00-DD 00:00:SS,1,10,Paneer Tikka,Online,13,8.44,147.42
YYYY-00-DD 00:00:SS,2,1,Butter Chicken,Walk-in,13,9.62,161.46
YYYY-00-DD 00:00:SS,2,1,Butter Chicken,Pickup,18,13.61,164.16
YYYY-00-DD 00:00:SS,2,1,Butter Chicken,Online,9,13.46,147.15
YYYY-00-DD 00:00:SS,2,2,Tofu Stir Fry,Walk-in,9,12.3,75.78
YYYY-00-DD 00:00:SS,2,2,Tofu Stir Fry,Pickup,16,16.99,255.36
YYYY-00-DD 00:00:SS,2,2,Tofu Stir Fry,Online,6,16.99,60.6
YYYY-00-DD 00:00:SS,2,3,Salmon Salad,Walk-in,8,11.54,108.8
YYYY-00-DD 00:00:SS,2,3,Salmon Salad,Pickup,18,17.74,278.82
YYYY-00-DD 00:00:SS,2,3,Salmon Salad,Online,12,16.65,213.12
YYYY-00-DD 00:00:SS,2,4,Chicken Teriyaki,Walk-in,10,16.81,82.5
YYYY-00-DD 00:00:SS,2,4,Chicken Teriyaki,Pickup,15,15.82,181.8
YYYY-00-DD 00:00:SS,2,4,Chicken Teriyaki,Online,12,10.67,190.44
YYYY-00-DD 00:00:SS,2,5,Spicy Ramen,Walk-in,17,16.72,282.03
YYYY-00-DD 00:00:SS,2,5,Spicy Ramen,Pickup,12,10,206.16
YYYY-00-DD 00:00:SS,2,5,Spicy Ramen,Online,16,11.05,255.2
YYYY-00-DD 00:00:SS,2,6,Biryani,Walk-in,12,8.24,119.16
YYYY-00-DD 00:00:SS,2,6,Biryani,Pickup,15,10.79,130.35
YYYY-00-DD 00:00:SS,2,6,Biryani,Online,13,11.51,170.17
YYYY-00-DD 00:00:SS,2,7,Bulgogi Bowl,Walk-in,15,17.39,137.25
YYYY-00-DD 00:00:SS,2,7,Bulgogi Bowl,Pickup,13,9.79,229.19
YYYY-00-DD 00:00:SS,2,7,Bulgogi Bowl,Online,13,8.38,181.61
YYYY-00-DD 00:00:SS,2,8,Coconut Curry,Walk-in,15,12.36,267.6
YYYY-00-DD 00:00:SS,2,8,Coconut Curry,Pickup,8,11.85,110.16
YYYY-00-DD 00:00:SS,2,8,Coconut Curry,Online,13,8.44,160.68
YYYY-00-DD 00:00:SS,2,9,Veg Risotto,Walk-in,11,11.64,95.7
YYYY-00-DD 00:00:SS,2,9,Veg Risotto,Pickup,15,14.23,219.45
YYYY-00-DD 00:00:SS,2,9,Veg Risotto,Online,8,15.2,88
YYYY-00-DD 00:00:SS,2,10,Paneer Tikka,Walk-in,18,11.26,269.46
YYYY-00-DD 00:00:SS,2,10,Paneer Tikka,Pickup,9,9.92,131.85
YYYY-00-DD 00:00:SS,2,10,Paneer Tikka,Online,17,14.77,289.51
YYYY-00-DD 00:00:SS,1,1,Butter Chicken,Walk-in,14,12.06,228.76
YYYY-00-DD 00:00:SS,1,1,Butter Chicken,Pickup,14,10.87,172.2
YYYY-00-DD 00:00:SS,1,1,Butter Chicken,Online,15,12.65,186.3
YYYY-00-DD 00:00:SS,1,2,Tofu Stir Fry,Walk-in,20,15.94,352
YYYY-00-DD 00:00:SS,1,2,Tofu Stir Fry,Pickup,10,14.59,108.4
YYYY-00-DD 00:00:SS,1,2,Tofu Stir Fry,Online,15,8.93,262.8
YYYY-00-DD 00:00:SS,1,3,Salmon Salad,Walk-in,14,10.25,139.86
YYYY-00-DD 00:00:SS,1,3,Salmon Salad,Pickup,5,8.46,89.2
YYYY-00-DD 00:00:SS,1,3,Salmon Salad,Online,7,12.55,118.02
YYYY-00-DD 00:00:SS,1,4,Chicken Teriyaki,Walk-in,11,15.18,130.24
YYYY-00-DD 00:00:SS,1,4,Chicken Teriyaki,Pickup,17,10.44,247.52
YYYY-00-DD 00:00:SS,1,4,Chicken Teriyaki,Online,5,16.93,83
YYYY-00-DD 00:00:SS,1,5,Spicy Ramen,Walk-in,8,15.78,81.52
YYYY-00-DD 00:00:SS,1,5,Spicy Ramen,Pickup,19,8.5,199.31
YYYY-00-DD 00:00:SS,1,5,Spicy Ramen,Online,8,12.56,128.08
YYYY-00-DD 00:00:SS,1,6,Biryani,Walk-in,15,17.5,253.65
YYYY-00-DD 00:00:SS,1,6,Biryani,Pickup,18,16.31,242.64
YYYY-00-DD 00:00:SS,1,6,Biryani,Online,10,15.44,127.5
YYYY-00-DD 00:00:SS,1,7,Bulgogi Bowl,Walk-in,12,16.4,129.24
YYYY-00-DD 00:00:SS,1,7,Bulgogi Bowl,Pickup,20,14.27,215
YYYY-00-DD 00:00:SS,1,7,Bulgogi Bowl,Online,7,15.14,72.38
YYYY-00-DD 00:00:SS,1,8,Coconut Curry,Walk-in,15,16.93,132.15
YYYY-00-DD 00:00:SS,1,8,Coconut Curry,Pickup,9,10.31,134.46
YYYY-00-DD 00:00:SS,1,8,Coconut Curry,Online,11,8.64,132.88
YYYY-00-DD 00:00:SS,1,9,Veg Risotto,Walk-in,19,12.16,191.33
YYYY-00-DD 00:00:SS,1,9,Veg Risotto,Pickup,18,11.89,282.6
YYYY-00-DD 00:00:SS,1,9,Veg Risotto,Online,5,16.57,78.3
YYYY-00-DD 00:00:SS,1,10,Paneer Tikka,Walk-in,20,8.06,230.4
YYYY-00-DD 00:00:SS,1,10,Paneer Tikka,Pickup,17,16.53,298.01
YYYY-00-DD 00:00:SS,1,10,Paneer Tikka,Online,18,13.38,276.3
YYYY-00-DD 00:00:SS,2,1,Butter Chicken,Walk-in,12,12.88,128.76
YYYY-00-DD 00:00:SS,2,1,Butter Chicken,Pickup,20,8.29,227.2
YYYY-00-DD 00:00:SS,2,1,Butter Chicken,Online,17,15.24,278.97
YYYY-00-DD 00:00:SS,2,2,Tofu Stir Fry,Walk-in,9,17.81,120.06
YYYY-00-DD 00:00:SS,2,2,Tofu Stir Fry,Pickup,17,13.92,248.71
YYYY-00-DD 00:00:SS,2,2,Tofu Stir Fry,Online,7,14.43,65.52
YYYY-00-DD 00:00:SS,2,3,Salmon Salad,Walk-in,10,8.5,117.9
YYYY-00-DD 00:00:SS,2,3,Salmon Salad,Pickup,11,12.55,125.18
YYYY-00-DD 00:00:SS,2,3,Salmon Salad,Online,17,10.78,297.67
YYYY-00-DD 00:00:SS,2,4,Chicken Teriyaki,Walk-in,13,16.35,165.1
YYYY-00-DD 00:00:SS,2,4,Chicken Teriyaki,Pickup,6,18,69
YYYY-00-DD 00:00:SS,2,4,Chicken Teriyaki,Online,7,15.81,101.64
YYYY-00-DD 00:00:SS,2,5,Spicy Ramen,Walk-in,5,17.5,49.95
YYYY-00-DD 00:00:SS,2,5,Spicy Ramen,Pickup,5,14.21,51.95
YYYY-00-DD 00:00:SS,2,5,Spicy Ramen,Online,20,14.69,272.8
YYYY-00-DD 00:00:SS,2,6,Biryani,Walk-in,19,14.99,297.73
YYYY-00-DD 00:00:SS,2,6,Biryani,Pickup,10,14.06,176.4
YYYY-00-DD 00:00:SS,2,6,Biryani,Online,8,15.78,77.12
YYYY-00-DD 00:00:SS,2,7,Bulgogi Bowl,Walk-in,8,13.79,138.32
YYYY-00-DD 00:00:SS,2,7,Bulgogi Bowl,Pickup,17,11.97,257.55
YYYY-00-DD 00:00:SS,2,7,Bulgogi Bowl,Online,7,13.92,114.17
YYYY-00-DD 00:00:SS,2,8,Coconut Curry,Walk-in,8,14.97,88.16
YYYY-00-DD 00:00:SS,2,8,Coconut Curry,Pickup,8,15.96,109.28
YYYY-00-DD 00:00:SS,2,8,Coconut Curry,Online,6,11.47,73.68
YYYY-00-DD 00:00:SS,2,9,Veg Risotto,Walk-in,7,13.06,79.87
YYYY-00-DD 00:00:SS,2,9,Veg Risotto,Pickup,18,16.22,163.08
YYYY-00-DD 00:00:SS,2,9,Veg Risotto,Online,16,14.36,260.64
YYYY-00-DD 00:00:SS,2,10,Paneer Tikka,Walk-in,9,12.35,138.06
YYYY-00-DD 00:00:SS,2,10,Paneer Tikka,Pickup,13,14.16,223.6
YYYY-00-DD 00:00:SS,2,10,Paneer Tikka,Online,20,12.65,325.2
YYYY-00-DD 00:00:SS,1,1,Butter Chicken,Walk-in,13,11.22,135.85
YYYY-00-DD 00:00:SS,1,1,Butter Chicken,Pickup,7,10.79,87.57
YYYY-00-DD 00:00:SS,1,1,Butter Chicken,Online,19,13.7,278.92
YYYY-00-DD 00:00:SS,1,2,Tofu Stir Fry,Walk-in,5,12.94,56.25
YYYY-00-DD 00:00:SS,1,2,Tofu Stir Fry,Pickup,20,10.12,319.6
YYYY-00-DD 00:00:SS,1,2,Tofu Stir Fry,Online,15,10.8,209.4
YYYY-00-DD 00:00:SS,1,3,Salmon Salad,Walk-in,13,13.56,171.21
YYYY-00-DD 00:00:SS,1,3,Salmon Salad,Pickup,11,8.86,167.2
YYYY-00-DD 00:00:SS,1,3,Salmon Salad,Online,20,13.55,208
YYYY-00-DD 00:00:SS,1,4,Chicken Teriyaki,Walk-in,20,12.48,163.4
YYYY-00-DD 00:00:SS,1,4,Chicken Teriyaki,Pickup,14,10.22,208.88
YYYY-00-DD 00:00:SS,1,4,Chicken Teriyaki,Online,14,14.64,163.66
YYYY-00-DD 00:00:SS,1,5,Spicy Ramen,Walk-in,16,12.26,247.36
YYYY-00-DD 00:00:SS,1,5,Spicy Ramen,Pickup,15,11.52,188.1
YYYY-00-DD 00:00:SS,1,5,Spicy Ramen,Online,14,10.51,128.94
YYYY-00-DD 00:00:SS,1,6,Biryani,Walk-in,15,9.2,200.4
YYYY-00-DD 00:00:SS,1,6,Biryani,Pickup,10,9.92,153.9
YYYY-00-DD 00:00:SS,1,6,Biryani,Online,13,15.25,231.01
YYYY-00-DD 00:00:SS,1,7,Bulgogi Bowl,Walk-in,14,17.81,228.62
YYYY-00-DD 00:00:SS,1,7,Bulgogi Bowl,Pickup,14,10.27,137.06
YYYY-00-DD 00:00:SS,1,7,Bulgogi Bowl,Online,5,15.08,46.35
YYYY-00-DD 00:00:SS,1,8,Coconut Curry,Walk-in,6,13.53,89.82
YYYY-00-DD 00:00:SS,1,8,Coconut Curry,Pickup,9,14.38,139.77
YYYY-00-DD 00:00:SS,1,8,Coconut Curry,Online,8,16.73,109.92
YYYY-00-DD 00:00:SS,1,9,Veg Risotto,Walk-in,20,12.4,196.8
YYYY-00-DD 00:00:SS,1,9,Veg Risotto,Pickup,6,10.52,99.72
YYYY-00-DD 00:00:SS,1,9,Veg Risotto,Online,8,16.22,96.08
YYYY-00-DD 00:00:SS,1,10,Paneer Tikka,Walk-in,6,9.52,96.66
YYYY-00-DD 00:00:SS,1,10,Paneer Tikka,Pickup,14,8.85,146.72
YYYY-00-DD 00:00:SS,1,10,Paneer Tikka,Online,18,14.06,286.38
YYYY-00-DD 00:00:SS,2,1,Butter Chicken,Walk-in,17,12.51,211.31
YYYY-00-DD 00:00:SS,2,1,Butter Chicken,Pickup,18,11.05,255.78
YYYY-00-DD 00:00:SS,2,1,Butter Chicken,Online,8,17.48,80.64
YYYY-00-DD 00:00:SS,2,2,Tofu Stir Fry,Walk-in,13,14.6,124.41
YYYY-00-DD 00:00:SS,2,2,Tofu Stir Fry,Pickup,10,13.52,95.7
YYYY-00-DD 00:00:SS,2,2,Tofu Stir Fry,Online,18,12.51,250.92
YYYY-00-DD 00:00:SS,2,3,Salmon Salad,Walk-in,6,10.31,90.42
YYYY-00-DD 00:00:SS,2,3,Salmon Salad,Pickup,19,8.71,196.27
YYYY-00-DD 00:00:SS,2,3,Salmon Salad,Online,13,15.88,185.25
YYYY-00-DD 00:00:SS,2,4,Chicken Teriyaki,Walk-in,11,12.25,147.95
YYYY-00-DD 00:00:SS,2,4,Chicken Teriyaki,Pickup,9,17.08,146.43
YYYY-00-DD 00:00:SS,2,4,Chicken Teriyaki,Online,7,8.6,111.51
YYYY-00-DD 00:00:SS,2,5,Spicy Ramen,Walk-in,14,12.39,177.66
YYYY-00-DD 00:00:SS,2,5,Spicy Ramen,Pickup,14,15,244.02
YYYY-00-DD 00:00:SS,2,5,Spicy Ramen,Online,20,12.38,279.6
YYYY-00-DD 00:00:SS,2,6,Biryani,Walk-in,18,15.35,252.72
YYYY-00-DD 00:00:SS,2,6,Biryani,Pickup,5,8.91,88.1
YYYY-00-DD 00:00:SS,2,6,Biryani,Online,5,18,73.6
YYYY-00-DD 00:00:SS,2,7,Bulgogi Bowl,Walk-in,6,15.63,58.5
YYYY-00-DD 00:00:SS,2,7,Bulgogi Bowl,Pickup,19,17.16,186.39
YYYY-00-DD 00:00:SS,2,7,Bulgogi Bowl,Online,18,14.35,232.56
YYYY-00-DD 00:00:SS,2,8,Coconut Curry,Walk-in,20,11.48,226.6
YYYY-00-DD 00:00:SS,2,8,Coconut Curry,Pickup,8,16.58,90.4
YYYY-00-DD 00:00:SS,2,8,Coconut Curry,Online,20,10.88,349
YYYY-00-DD 00:00:SS,2,9,Veg Risotto,Walk-in,6,12.55,66.9
YYYY-00-DD 00:00:SS,2,9,Veg Risotto,Pickup,15,9.16,235.95
YYYY-00-DD 00:00:SS,2,9,Veg Risotto,Online,5,14.58,67.15
YYYY-00-DD 00:00:SS,2,10,Paneer Tikka,Walk-in,6,9.88,69.72
YYYY-00-DD 00:00:SS,2,10,Paneer Tikka,Pickup,20,14.25,312
YYYY-00-DD 00:00:SS,2,10,Paneer Tikka,Online,11,10.67,102.41
YYYY-00-DD 00:00:SS,1,1,Butter Chicken,Walk-in,19,16.81,244.15
YYYY-00-DD 00:00:SS,1,1,Butter Chicken,Pickup,5,17.73,70.45
YYYY-00-DD 00:00:SS,1,1,Butter Chicken,Online,12,15.1,133.32
YYYY-00-DD 00:00:SS,1,2,Tofu Stir Fry,Walk-in,18,8.93,322.56
YYYY-00-DD 00:00:SS,1,2,Tofu Stir Fry,Pickup,8,12.61,73.36
YYYY-00-DD 00:00:SS,1,2,Tofu Stir Fry,Online,9,12.98,136.53
YYYY-00-DD 00:00:SS,1,3,Salmon Salad,Walk-in,13,12.15,166.66
YYYY-00-DD 00:00:SS,1,3,Salmon Salad,Pickup,20,10.44,270.2
YYYY-00-DD 00:00:SS,1,3,Salmon Salad,Online,17,9.91,237.83
YYYY-00-DD 00:00:SS,1,4,Chicken Teriyaki,Walk-in,9,16.64,96.84
YYYY-00-DD 00:00:SS,1,4,Chicken Teriyaki,Pickup,18,11.4,285.84
YYYY-00-DD 00:00:SS,1,4,Chicken Teriyaki,Online,13,16.21,140.79
YYYY-00-DD 00:00:SS,1,5,Spicy Ramen,Walk-in,20,16.65,249.4
YYYY-00-DD 00:00:SS,1,5,Spicy Ramen,Pickup,20,11.45,270.4
YYYY-00-DD 00:00:SS,1,5,Spicy Ramen,Online,17,12.55,190.74
YYYY-00-DD 00:00:SS,1,6,Biryani,Walk-in,12,13.72,124.08
YYYY-00-DD 00:00:SS,1,6,Biryani,Pickup,18,8.44,278.1
YYYY-00-DD 00:00:SS,1,6,Biryani,Online,17,11.86,248.88
YYYY-00-DD 00:00:SS,1,7,Bulgogi Bowl,Walk-in,9,12.95,75.33
YYYY-00-DD 00:00:SS,1,7,Bulgogi Bowl,Pickup,15,16.7,251.1
YYYY-00-DD 00:00:SS,1,7,Bulgogi Bowl,Online,19,9,324.9
YYYY-00-DD 00:00:SS,1,8,Coconut Curry,Walk-in,9,12.1,130.95
YYYY-00-DD 00:00:SS,1,8,Coconut Curry,Pickup,9,8.75,142.38
YYYY-00-DD 00:00:SS,1,8,Coconut Curry,Online,13,11.39,194.09
YYYY-00-DD 00:00:SS,1,9,Veg Risotto,Walk-in,7,16.52,115.64
YYYY-00-DD 00:00:SS,1,9,Veg Risotto,Pickup,17,17.54,242.59
YYYY-00-DD 00:00:SS,1,9,Veg Risotto,Online,20,16.72,167.2
YYYY-00-DD 00:00:SS,1,10,Paneer Tikka,Walk-in,12,14.31,206.52
YYYY-00-DD 00:00:SS,1,10,Paneer Tikka,Pickup,12,15.47,148.08
YYYY-00-DD 00:00:SS,1,10,Paneer Tikka,Online,8,15.6,120.32
YYYY-00-DD 00:00:SS,2,1,Butter Chicken,Walk-in,19,9.66,208.81
YYYY-00-DD 00:00:SS,2,1,Butter Chicken,Pickup,5,8.46,79.8
YYYY-00-DD 00:00:SS,2,1,Butter Chicken,Online,14,11.58,172.34
YYYY-00-DD 00:00:SS,2,2,Tofu Stir Fry,Walk-in,18,13.66,286.74
YYYY-00-DD 00:00:SS,2,2,Tofu Stir Fry,Pickup,10,9.75,140.9
YYYY-00-DD 00:00:SS,2,2,Tofu Stir Fry,Online,17,14.2,176.97
YYYY-00-DD 00:00:SS,2,3,Salmon Salad,Walk-in,9,10.32,129.42
YYYY-00-DD 00:00:SS,2,3,Salmon Salad,Pickup,19,10.55,153.71
YYYY-00-DD 00:00:SS,2,3,Salmon Salad,Online,19,17.01,280.82
YYYY-00-DD 00:00:SS,2,4,Chicken Teriyaki,Walk-in,7,12.42,80.22
YYYY-00-DD 00:00:SS,2,4,Chicken Teriyaki,Pickup,14,14.39,171.36
YYYY-00-DD 00:00:SS,2,4,Chicken Teriyaki,Online,13,12.57,143.26
YYYY-00-DD 00:00:SS,2,5,Spicy Ramen,Walk-in,20,9.07,236.2
YYYY-00-DD 00:00:SS,2,5,Spicy Ramen,Pickup,16,13.75,286.88
YYYY-00-DD 00:00:SS,2,5,Spicy Ramen,Online,14,8.22,228.2
YYYY-00-DD 00:00:SS,2,6,Biryani,Walk-in,13,8.08,216.45
YYYY-00-DD 00:00:SS,2,6,Biryani,Pickup,6,17.11,92.7
YYYY-00-DD 00:00:SS,2,6,Biryani,Online,14,15.76,144.2
YYYY-00-DD 00:00:SS,2,7,Bulgogi Bowl,Walk-in,16,10.19,158.4
YYYY-00-DD 00:00:SS,2,7,Bulgogi Bowl,Pickup,13,14.78,197.73
YYYY-00-DD 00:00:SS,2,7,Bulgogi Bowl,Online,9,14.28,153.27
YYYY-00-DD 00:00:SS,2,8,Coconut Curry,Walk-in,6,11.09,74.46
YYYY-00-DD 00:00:SS,2,8,Coconut Curry,Pickup,16,15.32,142.4
YYYY-00-DD 00:00:SS,2,8,Coconut Curry,Online,14,11.27,170.24
YYYY-00-DD 00:00:SS,2,9,Veg Risotto,Walk-in,9,15.87,150.84
YYYY-00-DD 00:00:SS,2,9,Veg Risotto,Pickup,16,13.31,274.08
YYYY-00-DD 00:00:SS,2,9,Veg Risotto,Online,10,10.57,162.5
YYYY-00-DD 00:00:SS,2,10,Paneer Tikka,Walk-in,14,15.47,159.46
YYYY-00-DD 00:00:SS,2,10,Paneer Tikka,Pickup,8,12.68,70
YYYY-00-DD 00:00:SS,2,10,Paneer Tikka,Online,12,16.6,182.88
YYYY-00-DD 00:00:SS,1,1,Butter Chicken,Walk-in,16,8.9,191.2
YYYY-00-DD 00:00:SS,1,1,Butter Chicken,Pickup,13,13.37,163.15
YYYY-00-DD 00:00:SS,1,1,Butter Chicken,Online,13,13.85,210.86
YYYY-00-DD 00:00:SS,1,2,Tofu Stir Fry,Walk-in,16,9.08,165.44
YYYY-00-DD 00:00:SS,1,2,Tofu Stir Fry,Pickup,5,14.2,87.15
YYYY-00-DD 00:00:SS,1,2,Tofu Stir Fry,Online,15,17.15,153.15
YYYY-00-DD 00:00:SS,1,3,Salmon Salad,Walk-in,19,17.09,209.38
YYYY-00-DD 00:00:SS,1,3,Salmon Salad,Pickup,18,9.17,152.1
YYYY-00-DD 00:00:SS,1,3,Salmon Salad,Online,6,11.04,77.58
YYYY-00-DD 00:00:SS,1,4,Chicken Teriyaki,Walk-in,12,16.87,112.32
YYYY-00-DD 00:00:SS,1,4,Chicken Teriyaki,Pickup,19,11.71,332.31
YYYY-00-DD 00:00:SS,1,4,Chicken Teriyaki,Online,18,13.87,274.86
YYYY-00-DD 00:00:SS,1,5,Spicy Ramen,Walk-in,18,14.55,294.12
